state,district,season,recommended_crops,primary_crop,notes,avg_N,avg_P,avg_K,avg_ph,avg_temp,avg_rainfall
Karnataka,Chitradurga,Summer,Groundnut;Pomegranate,Groundnut,Drought-resistant summer crops,55,35,32,7.7,32.5,15
Karnataka,Belagavi,Kharif,Sugarcane;Soybean;Maize,Sugarcane,Major sugarcane belt with good rainfall,105,58,52,6.9,28.5,220
Karnataka,Belagavi,Rabi,Wheat;Gram;Onion,Wheat,Irrigated rabi cereals,80,48,42,7.0,21.0,35
Karnataka,Davangere,Kharif,Rice;Maize;Cotton,Rice,Central Karnataka monsoon belt,90,48,44,7.1,28.5,220
Karnataka,Davangere,Rabi,Ragi;Chickpea;Sunflower,Ragi,Millet and pulse zone,65,40,36,7.2,21.0,35
Karnataka,Tumkur,Kharif,Ragi;Groundnut;Coconut,Ragi,Rainfed millet region,70,38,34,6.8,28.5,220
Karnataka,Tumkur,Rabi,Sunflower;Gram;Vegetables,Sunflower,Oilseed and pulse cultivation,60,35,32,6.9,21.0,35
Karnataka,Raichur,Kharif,Rice;Cotton;Tur,Rice,Krishna basin irrigation,98,55,50,7.5,28.5,220
Karnataka,Raichur,Rabi,Wheat;Gram;Jowar,Jowar,Dryland rabi crops,72,42,38,7.6,21.0,35
Karnataka,Shimoga,Kharif,Rice;Arecanut;Maize,Rice,Malnad heavy rainfall zone,95,50,46,5.8,28.5,220
Karnataka,Shimoga,Rabi,Pepper;Coffee;Cardamom,Coffee,Plantation crops in Western Ghats,80,42,38,5.9,21.0,35
Karnataka,Udupi,Kharif,Rice;Coconut;Arecanut,Rice,Coastal paddy with plantation,88,45,40,5.5,28.5,220
Karnataka,Udupi,Rabi,Rice;Vegetables;Banana,Rice,Coastal double cropping,78,40,36,5.7,21.0,35
Karnataka,Haveri,Kharif,Maize;Cotton;Groundnut,Maize,Transitional zone farming,82,44,40,7.0,28.5,220
Karnataka,Haveri,Rabi,Wheat;Gram;Safflower,Wheat,Rabi cereals and oilseeds,70,40,36,7.1,21.0,35
Maharashtra,Pune,Kharif,Rice;Soybean;Cotton,Soybean,Mixed cropping region,85,45,42,6.8,28.5,220
Maharashtra,Pune,Rabi,Wheat;Gram;Onion,Wheat,Rabi cash crops,75,40,38,6.7,21.0,35
Maharashtra,Nagpur,Kharif,Cotton;Soybean;Tur,Cotton,Major cotton belt,90,50,48,7.2,28.5,220
Maharashtra,Nagpur,Rabi,Wheat;Gram,Wheat,Medium rainfall suited to wheat,80,45,42,7.1,21.0,35
Maharashtra,Nashik,Kharif,Maize;Rice;Soybean,Maize,Western Ghats influence,80,48,44,6.5,28.5,220
Maharashtra,Nashik,Rabi,Wheat;Onion,Wheat,Horticulture and Rabi crops,75,45,40,6.6,21.0,35
Maharashtra,Kolhapur,Kharif,Sugarcane;Rice;Soybean,Sugarcane,High rainfall sugarcane belt,110,60,55,6.5,28.5,220
Maharashtra,Kolhapur,Rabi,Wheat;Jowar;Gram,Wheat,Irrigated rabi crops,85,50,45,6.7,21.0,35
Maharashtra,Aurangabad,Kharif,Cotton;Soybean;Tur,Cotton,Marathwada cotton zone,80,42,38,7.5,28.5,220
Maharashtra,Aurangabad,Rabi,Wheat;Gram;Jowar,Jowar,Dryland rabi farming,70,40,36,7.6,21.0,35
Maharashtra,Solapur,Kharif,Jowar;Tur;Groundnut,Jowar,Semi-arid dryland region,55,32,28,7.8,28.5,220
Maharashtra,Solapur,Rabi,Gram;Safflower;Wheat,Gram,Pulse and oilseed zone,60,35,32,7.9,21.0,35
Maharashtra,Amravati,Kharif,Cotton;Soybean;Tur,Cotton,Vidarbha cotton heartland,85,48,44,7.3,28.5,220
Maharashtra,Amravati,Rabi,Wheat;Gram;Linseed,Wheat,Winter crops in black soil,75,42,38,7.4,21.0,35
Maharashtra,Sangli,Kharif,Sugarcane;Soybean;Groundnut,Sugarcane,Krishna basin irrigation,100,55,50,6.8,28.5,220
Maharashtra,Sangli,Rabi,Wheat;Gram;Turmeric,Wheat,Cash crop diversification,80,48,42,6.9,21.0,35
Maharashtra,Ratnagiri,Kharif,Rice;Mango;Coconut,Rice,Konkan coastal belt,75,38,34,5.8,28.5,220
Maharashtra,Ratnagiri,Rabi,Cashew;Rice;Vegetables,Cashew,Plantation and rabi crops,65,35,32,5.9,21.0,35
Maharashtra,Jalgaon,Kharif,Cotton;Banana;Maize,Banana,Major banana production zone,90,52,48,7.0,28.5,220
Maharashtra,Jalgaon,Rabi,Wheat;Gram;Onion,Wheat,North Maharashtra rabi belt,78,45,40,7.1,21.0,35
Tamil Nadu,Chennai,Kharif,Rice;Maize,Rice,Delta irrigation region,95,50,45,6.7,28.5,220
Tamil Nadu,Chennai,Rabi,Groundnut;Sesame,Groundnut,Winter oilseed season,70,45,40,6.8,25.5,35
Tamil Nadu,Coimbatore,Kharif,Maize;Cotton,Maize,Dry crop region,85,45,40,7.1,28.5,220
Tamil Nadu,Coimbatore,Rabi,Wheat;Pulses,Pulses,Minor Rabi coverage,65,40,35,7.2,25.5,35
Tamil Nadu,Madurai,Kharif,Rice;Millets,Rice,Good monsoon,90,48,44,6.9,28.5,220
Tamil Nadu,Madurai,Rabi,Pulses;Groundnut,Pulses,Dryland farming,60,40,36,7.0,25.5,35
Tamil Nadu,Thanjavur,Kharif,Rice;Sugarcane;Banana,Rice,Cauvery delta granary of Tamil Nadu,110,60,55,6.5,28.5,220
Tamil Nadu,Thanjavur,Rabi,Rice;Pulses;Sesame,Rice,Double cropping in delta,95,55,50,6.6,25.5,35
Tamil Nadu,Salem,Kharif,Maize;Tapioca;Groundnut,Maize,Dryland mixed cropping,80,42,38,7.0,28.5,220
Tamil Nadu,Salem,Rabi,Sorghum;Gram;Vegetables,Sorghum,Semi-arid rabi crops,65,38,34,7.1,25.5,35
Tamil Nadu,Tirunelveli,Kharif,Rice;Banana;Coconut,Rice,Rich monsoon rain zone,92,50,46,6.3,28.5,220
Tamil Nadu,Tirunelveli,Rabi,Rice;Pulses;Sesame,Rice,Southern district double cropping,80,45,40,6.4,25.5,35
Tamil Nadu,Erode,Kharif,Turmeric;Cotton;Maize,Turmeric,Major turmeric belt,88,48,44,7.0,28.5,220
Tamil Nadu,Erode,Rabi,Groundnut;Sorghum;Vegetables,Groundnut,Oilseed and vegetable zone,72,42,38,7.1,25.5,35
Tamil Nadu,Tiruchirapalli,Kharif,Rice;Groundnut;Banana,Rice,Cauvery basin irrigation,95,52,48,6.7,28.5,220
Tamil Nadu,Tiruchirapalli,Rabi,Gram;Pulses;Sesame,Pulses,Rabi pulse belt,75,44,40,6.8,25.5,35
Tamil Nadu,Dindigul,Kharif,Rice;Maize;Groundnut,Maize,Mixed cropping western zone,82,44,40,6.9,28.5,220
Tamil Nadu,Dindigul,Rabi,Pulses;Jowar;Vegetables,Pulses,Dryland rabi crops,68,40,36,7.0,25.5,35
Telangana,Hyderabad,Kharif,Rice;Maize;Cotton,Rice,Monsoon irrigation farming,95,52,48,6.8,28.5,220
Telangana,Hyderabad,Rabi,Gram;Wheat;Pulses,Gram,Moderate rainfall crops,75,45,42,6.9,25.5,35
Telangana,Warangal,Kharif,Cotton;Rice,Cotton,Deccan cotton belt,92,50,46,7.1,28.5,220
Telangana,Warangal,Rabi,Maize;Wheat,Maize,Dry-season cereal crops,80,45,40,7.0,25.5,35
Telangana,Karimnagar,Kharif,Rice;Cotton;Soybean,Rice,North Telangana monsoon zone,90,48,44,7.0,28.5,220
Telangana,Karimnagar,Rabi,Gram;Maize;Sunflower,Gram,Pulse and oilseed rabi,72,42,38,7.1,25.5,35
Telangana,Nizamabad,Kharif,Rice;Soybean;Turmeric,Rice,Godavari basin irrigation,100,55,50,6.8,28.5,220
Telangana,Nizamabad,Rabi,Wheat;Gram;Sunflower,Wheat,Irrigated rabi crops,82,48,42,6.9,25.5,35
Telangana,Khammam,Kharif,Rice;Cotton;Chilli,Rice,High rainfall forest zone,95,50,46,6.5,28.5,220
Telangana,Khammam,Rabi,Maize;Gram;Pulses,Maize,Tribal area rabi crops,78,44,40,6.7,25.5,35
Telangana,Nalgonda,Kharif,Rice;Cotton;Groundnut,Cotton,Semi-arid crops,85,45,40,7.2,28.5,220
Telangana,Nalgonda,Rabi,Gram;Jowar;Safflower,Gram,Dryland rabi zone,68,40,36,7.3,25.5,35
Telangana,Medak,Kharif,Rice;Maize;Cotton,Rice,Central Telangana monsoon,88,48,44,7.0,28.5,220
Telangana,Medak,Rabi,Gram;Wheat;Vegetables,Gram,Peri-urban vegetable farming,75,42,38,7.1,25.5,35
Andhra Pradesh,Vizianagaram,Kharif,Rice;Maize,Rice,Monsoon paddy,90,48,42,6.5,28.5,220
Andhra Pradesh,Vizianagaram,Rabi,Groundnut;Pulses,Groundnut,Coastal plains,70,42,38,6.6,25.5,35
Andhra Pradesh,Guntur,Kharif,Rice;Cotton,Rice,Krishna basin delta,100,55,50,7.0,28.5,220
Andhra Pradesh,Guntur,Rabi,Maize;Pulses,Maize,Rabi cereals,85,48,44,7.1,25.5,35
Andhra Pradesh,Kurnool,Kharif,Cotton;Groundnut;Jowar,Cotton,Rayalaseema dryland,70,38,34,7.6,28.5,220
Andhra Pradesh,Kurnool,Rabi,Sunflower;Gram;Wheat,Gram,Semi-arid rabi farming,60,35,32,7.7,25.5,35
Andhra Pradesh,East Godavari,Kharif,Rice;Coconut;Sugarcane,Rice,Godavari delta rich paddy zone,110,60,55,6.3,28.5,220
Andhra Pradesh,East Godavari,Rabi,Rice;Pulses;Banana,Rice,Double cropping delta,95,55,50,6.4,25.5,35
Andhra Pradesh,Chittoor,Kharif,Groundnut;Rice;Mango,Groundnut,Dryland oilseed zone,75,40,36,7.0,28.5,220
Andhra Pradesh,Chittoor,Rabi,Tomato;Vegetables;Gram,Tomato,Horticultural hub,65,38,34,7.1,25.5,35
Andhra Pradesh,Anantapur,Kharif,Groundnut;Sunflower;Cotton,Groundnut,Driest district drought-resistant crops,55,30,26,7.8,28.5,220
Andhra Pradesh,Anantapur,Rabi,Gram;Jowar;Safflower,Gram,Pulse and oilseed dryland,50,28,24,7.9,25.5,35
Andhra Pradesh,Nellore,Kharif,Rice;Aquaculture;Coconut,Rice,Coastal paddy and shrimp,98,52,48,6.5,28.5,220
Andhra Pradesh,Nellore,Rabi,Rice;Groundnut;Pulses,Rice,Delta double cropping,85,48,42,6.6,25.5,35
Andhra Pradesh,Visakhapatnam,Kharif,Rice;Sugarcane;Cashew,Rice,North coastal monsoon zone,92,50,46,6.2,28.5,220
Andhra Pradesh,Visakhapatnam,Rabi,Pulses;Vegetables;Rice,Rice,Coastal rabi crops,78,44,40,6.4,25.5,35
Kerala,Ernakulam,Kharif,Rice;Coconut,Rice,High rainfall coastal,80,40,35,5.5,28.5,220
Kerala,Ernakulam,Rabi,Rice;Vegetables,Rice,Short Rabi cycle,70,38,32,5.7,25.5,35
Kerala,Kozhikode,Kharif,Rice;Banana;Tapioca,Rice,High humidity,85,42,38,5.8,28.5,220
Kerala,Kozhikode,Rabi,Rice;Vegetables,Rice,Short Rabi window,75,40,35,5.9,25.5,35
Kerala,Thiruvananthapuram,Kharif,Rice;Coconut;Tapioca,Rice,Southern Kerala monsoon,82,40,36,5.4,28.5,220
Kerala,Thiruvananthapuram,Rabi,Rice;Vegetables;Banana,Rice,Coastal rabi cropping,72,38,34,5.6,25.5,35
Kerala,Wayanad,Kharif,Rice;Coffee;Pepper,Rice,Western Ghats high rainfall,88,42,38,5.2,28.5,220
Kerala,Wayanad,Rabi,Coffee;Cardamom;Ginger,Coffee,Hill plantation crops,78,40,36,5.3,25.5,35
Kerala,Palakkad,Kharif,Rice;Coconut;Sugarcane,Rice,Rice bowl of Kerala,95,48,44,5.8,28.5,220
Kerala,Palakkad,Rabi,Rice;Vegetables;Sesame,Rice,Irrigated paddy zone,82,44,40,6.0,25.5,35
Kerala,Idukki,Kharif,Cardamom;Pepper;Tea,Cardamom,High-altitude spice zone,75,38,34,5.0,28.5,220
Kerala,Idukki,Rabi,Vegetables;Coffee;Spices,Coffee,Hill station horticulture,68,35,32,5.2,25.5,35
Kerala,Thrissur,Kharif,Rice;Coconut;Banana,Rice,Central Kerala paddy zone,90,45,40,5.6,28.5,220
Kerala,Thrissur,Rabi,Rice;Vegetables;Turmeric,Rice,Double rice cropping,80,42,38,5.8,25.5,35
Gujarat,Ahmedabad,Kharif,Cotton;Groundnut,Cotton,Black soil suitable for cotton,95,55,50,7.8,30.0,110
Gujarat,Ahmedabad,Rabi,Wheat;Mustard,Wheat,Rabi irrigated,85,50,45,7.7,21.0,35
Gujarat,Rajkot,Kharif,Groundnut;Cotton,Groundnut,Saurashtra crops,90,52,48,7.9,30.0,110
Gujarat,Rajkot,Rabi,Wheat;Cumin,Wheat,Winter cash crops,80,48,44,8.0,21.0,35
Gujarat,Surat,Kharif,Sugarcane;Rice;Cotton,Sugarcane,South Gujarat heavy rainfall,105,58,52,6.8,30.0,110
Gujarat,Surat,Rabi,Wheat;Gram;Vegetables,Wheat,Irrigated rabi zone,88,50,46,7.0,21.0,35
Gujarat,Vadodara,Kharif,Cotton;Maize;Tur,Cotton,Central Gujarat monsoon,90,50,46,7.2,30.0,110
Gujarat,Vadodara,Rabi,Wheat;Tobacco;Gram,Wheat,Diversified rabi crops,80,46,42,7.3,21.0,35
Gujarat,Junagadh,Kharif,Groundnut;Cotton;Sesame,Groundnut,Saurashtra oilseed belt,85,48,44,7.8,30.0,110
Gujarat,Junagadh,Rabi,Wheat;Gram;Cumin,Wheat,Spice and cereal zone,75,44,40,7.9,21.0,35
Gujarat,Banaskantha,Kharif,Bajra;Castor;Cotton,Bajra,North Gujarat arid zone,60,35,30,8.2,30.0,110
Gujarat,Banaskantha,Rabi,Wheat;Mustard;Potato,Mustard,Irrigated rabi with tube wells,72,40,36,8.1,21.0,35
Gujarat,Kutch,Kharif,Bajra;Castor;Guar,Bajra,Arid zone drought-resistant crops,45,25,22,8.5,30.0,110
Gujarat,Kutch,Rabi,Wheat;Cumin;Isabgol,Cumin,Desert rabi cash crops,55,32,28,8.4,21.0,35
Gujarat,Mehsana,Kharif,Bajra;Castor;Cotton,Bajra,North Gujarat dryland,58,34,30,7.9,30.0,110
Gujarat,Mehsana,Rabi,Wheat;Mustard;Potato,Potato,Irrigated rabi vegetable zone,70,42,38,7.8,21.0,35
Punjab,Ludhiana,Kharif,Rice;Maize,Rice,Extensive canal irrigation,110,60,55,7.2,28.5,220
Punjab,Ludhiana,Rabi,Wheat;Barley,Wheat,High productivity region,100,55,50,7.1,21.0,35
Punjab,Amritsar,Kharif,Rice;Maize,Rice,Major rice zone,105,58,52,7.3,28.5,220
Punjab,Amritsar,Rabi,Wheat;Mustard,Wheat,Winter cereals dominate,95,52,48,7.2,21.0,35
Punjab,Bathinda,Kharif,Cotton;Rice;Maize,Cotton,Cotton belt of Punjab,90,50,46,7.8,28.5,220
Punjab,Bathinda,Rabi,Wheat;Gram;Mustard,Wheat,Malwa region rabi,88,48,44,7.7,21.0,35
Punjab,Patiala,Kharif,Rice;Maize;Sugarcane,Rice,Central Punjab irrigated zone,108,58,54,7.2,28.5,220
Punjab,Patiala,Rabi,Wheat;Barley;Potato,Wheat,High-yield wheat zone,98,54,50,7.1,21.0,35
Punjab,Jalandhar,Kharif,Rice;Maize;Vegetables,Rice,Doaba fertile region,105,56,52,7.0,28.5,220
Punjab,Jalandhar,Rabi,Wheat;Potato;Vegetables,Wheat,Intensive vegetable farming,95,52,48,7.1,21.0,35
Punjab,Firozpur,Kharif,Rice;Cotton;Maize,Rice,Border irrigated region,100,55,50,7.5,28.5,220
Punjab,Firozpur,Rabi,Wheat;Mustard;Gram,Wheat,Canal-irrigated rabi,90,50,46,7.4,21.0,35
Haryana,Hisar,Kharif,Bajra;Rice;Cotton,Bajra,Arid climate,70,40,35,8.1,30.0,110
Haryana,Hisar,Rabi,Wheat;Gram;Mustard,Wheat,Rabi double cropping,85,48,42,8.0,21.0,35
Haryana,Karnal,Kharif,Rice;Maize;Sugarcane,Rice,Upper Yamuna canal zone,105,58,52,7.3,30.0,110
Haryana,Karnal,Rabi,Wheat;Potato;Mustard,Wheat,Intensive wheat farming,95,52,48,7.2,21.0,35
Haryana,Ambala,Kharif,Rice;Maize;Sugarcane,Rice,Sub-mountainous monsoon,100,55,50,7.0,30.0,110
Haryana,Ambala,Rabi,Wheat;Barley;Mustard,Wheat,Irrigated rabi cereals,90,50,46,7.1,21.0,35
Haryana,Sirsa,Kharif,Cotton;Bajra;Guar,Cotton,Southwest arid zone,65,38,34,8.2,30.0,110
Haryana,Sirsa,Rabi,Wheat;Gram;Mustard,Mustard,Dryland rabi oilseeds,78,44,40,8.1,21.0,35
Haryana,Sonipat,Kharif,Rice;Sugarcane;Maize,Rice,Eastern irrigated zone,98,54,50,7.4,30.0,110
Haryana,Sonipat,Rabi,Wheat;Mustard;Potato,Wheat,Peri-urban farming,88,50,46,7.3,21.0,35
Haryana,Gurugram,Kharif,Bajra;Rice;Vegetables,Bajra,Semi-arid zone,72,40,36,7.8,30.0,110
Haryana,Gurugram,Rabi,Wheat;Mustard;Vegetables,Mustard,Peri-urban horticulture,80,46,42,7.7,21.0,35
Uttar Pradesh,Kanpur,Kharif,Rice;Maize,Rice,Monsoon crops,95,52,48,7.4,28.5,220
Uttar Pradesh,Kanpur,Rabi,Wheat;Gram,Wheat,Major wheat belt,90,50,45,7.3,21.0,35
Uttar Pradesh,Varanasi,Kharif,Rice;Maize,Rice,Ganga plain,100,55,50,7.2,28.5,220
Uttar Pradesh,Varanasi,Rabi,Wheat;Lentil,Wheat,Winter crops,90,50,46,7.1,21.0,35
Uttar Pradesh,Lucknow,Kharif,Rice;Sugarcane;Maize,Rice,Central UP irrigated plain,98,54,50,7.2,28.5,220
Uttar Pradesh,Lucknow,Rabi,Wheat;Gram;Mustard,Wheat,Rabi cereal belt,92,52,46,7.3,21.0,35
Uttar Pradesh,Agra,Kharif,Bajra;Maize;Jowar,Bajra,Semi-arid monsoon zone,65,38,34,8.0,28.5,220
Uttar Pradesh,Agra,Rabi,Wheat;Mustard;Potato,Wheat,Irrigated rabi farming,82,48,42,7.9,21.0,35
Uttar Pradesh,Meerut,Kharif,Rice;Sugarcane;Maize,Sugarcane,Upper Ganga canal zone,105,58,52,7.1,28.5,220
Uttar Pradesh,Meerut,Rabi,Wheat;Potato;Mustard,Wheat,Intensive farming region,95,54,48,7.2,21.0,35
Uttar Pradesh,Gorakhpur,Kharif,Rice;Sugarcane;Maize,Rice,Eastern UP flood plain,100,55,50,6.8,28.5,220
Uttar Pradesh,Gorakhpur,Rabi,Wheat;Lentil;Pea,Wheat,Winter legume and cereal,88,50,44,7.0,21.0,35
Uttar Pradesh,Allahabad,Kharif,Rice;Maize;Tur,Rice,Ganga-Yamuna doab,95,52,48,7.2,28.5,220
Uttar Pradesh,Allahabad,Rabi,Wheat;Gram;Mustard,Wheat,Major rabi belt,88,50,44,7.3,21.0,35
Uttar Pradesh,Bareilly,Kharif,Rice;Sugarcane;Maize,Rice,Rohilkhand plain,100,55,50,7.0,28.5,220
Uttar Pradesh,Bareilly,Rabi,Wheat;Mustard;Pea,Wheat,Irrigated rabi zone,90,50,46,7.1,21.0,35
Uttar Pradesh,Jhansi,Kharif,Jowar;Bajra;Groundnut,Jowar,Bundelkhand dryland,55,32,28,7.8,28.5,220
Uttar Pradesh,Jhansi,Rabi,Wheat;Gram;Lentil,Gram,Pulse belt of Bundelkhand,65,38,34,7.9,21.0,35
Uttar Pradesh,Mathura,Kharif,Bajra;Rice;Vegetables,Bajra,Semi-arid zone,68,40,36,7.8,28.5,220
Uttar Pradesh,Mathura,Rabi,Wheat;Mustard;Potato,Mustard,Braj region rabi crops,80,46,42,7.7,21.0,35
Madhya Pradesh,Bhopal,Kharif,Soybean;Rice,Soybean,Central India monsoon,80,45,40,7.0,28.5,220
Madhya Pradesh,Bhopal,Rabi,Wheat;Gram,Wheat,Dry Rabi,75,42,38,7.1,21.0,35
Madhya Pradesh,Indore,Kharif,Soybean;Maize,Soybean,High-yield zone,85,48,42,6.8,28.5,220
Madhya Pradesh,Indore,Rabi,Wheat;Lentil,Wheat,Rabi cereal,80,45,40,6.9,21.0,35
Madhya Pradesh,Jabalpur,Kharif,Rice;Soybean;Maize,Rice,Central MP monsoon zone,90,50,46,6.8,28.5,220
Madhya Pradesh,Jabalpur,Rabi,Wheat;Gram;Lentil,Wheat,Narmada valley rabi,82,48,42,7.0,21.0,35
Madhya Pradesh,Gwalior,Kharif,Bajra;Jowar;Groundnut,Bajra,Semi-arid Chambal zone,60,35,30,7.8,28.5,220
Madhya Pradesh,Gwalior,Rabi,Wheat;Mustard;Gram,Wheat,Irrigated rabi cereals,78,44,40,7.7,21.0,35
Madhya Pradesh,Ujjain,Kharif,Soybean;Cotton;Maize,Soybean,Malwa plateau monsoon,82,46,42,7.0,28.5,220
Madhya Pradesh,Ujjain,Rabi,Wheat;Gram;Garlic,Wheat,Cash crop diversification,78,44,40,7.1,21.0,35
Madhya Pradesh,Rewa,Kharif,Rice;Maize;Tur,Rice,Eastern MP rainfed,85,48,42,6.6,28.5,220
Madhya Pradesh,Rewa,Rabi,Wheat;Gram;Linseed,Wheat,Vindhya region rabi,75,42,38,6.8,21.0,35
Madhya Pradesh,Sagar,Kharif,Soybean;Rice;Tur,Soybean,Bundelkhand transition zone,78,44,40,7.2,28.5,220
Madhya Pradesh,Sagar,Rabi,Wheat;Gram;Mustard,Gram,Major pulse producing district,72,42,38,7.3,21.0,35
Madhya Pradesh,Chhindwara,Kharif,Soybean;Maize;Cotton,Soybean,Semi-arid plateau crops,80,45,40,6.8,28.5,220
Madhya Pradesh,Chhindwara,Rabi,Wheat;Gram;Orange,Wheat,Citrus fruit and rabi cereal,75,42,38,6.9,21.0,35
Bihar,Patna,Kharif,Rice;Maize,Rice,Floodplain cropping,100,52,48,6.7,28.5,220
Bihar,Patna,Rabi,Wheat;Lentil,Wheat,Short Rabi,85,48,44,6.8,21.0,35
Bihar,Gaya,Kharif,Rice;Maize,Rice,Monsoon agriculture,90,48,42,6.5,28.5,220
Bihar,Gaya,Rabi,Wheat;Gram,Wheat,Winter cultivation,80,45,40,6.6,21.0,35
Bihar,Muzaffarpur,Kharif,Rice;Maize;Banana,Rice,North Bihar flood plain,98,54,50,6.5,28.5,220
Bihar,Muzaffarpur,Rabi,Wheat;Potato;Lentil,Wheat,Major litchi and wheat zone,88,50,46,6.7,21.0,35
Bihar,Bhagalpur,Kharif,Rice;Maize;Jute,Rice,Eastern Bihar monsoon,92,50,46,6.3,28.5,220
Bihar,Bhagalpur,Rabi,Wheat;Gram;Mustard,Wheat,Silk and rabi crops,82,46,42,6.5,21.0,35
Bihar,Darbhanga,Kharif,Rice;Jute;Maize,Rice,Mithila flood-prone zone,95,52,48,6.2,28.5,220
Bihar,Darbhanga,Rabi,Wheat;Lentil;Potato,Wheat,Winter cereals and tubers,85,48,44,6.4,21.0,35
Bihar,Purnia,Kharif,Rice;Jute;Maize,Rice,Northeast Bihar monsoon,92,50,46,6.0,28.5,220
Bihar,Purnia,Rabi,Wheat;Maize;Potato,Wheat,Double cropping zone,82,46,42,6.2,21.0,35
West Bengal,Kolkata,Kharif,Rice;Jute,Rice,Delta crops,105,55,50,6.2,28.5,220
West Bengal,Kolkata,Rabi,Wheat;Potato,Wheat,Intensive cropping,90,50,45,6.3,21.0,35
West Bengal,Darjeeling,Kharif,Maize;Rice,Maize,Hilly monsoon crops,75,40,35,5.2,28.5,220
West Bengal,Darjeeling,Rabi,Barley;Wheat,Barley,Cool climate crops,65,38,32,5.4,21.0,35
West Bengal,Burdwan,Kharif,Rice;Jute;Maize,Rice,Gangetic plain rich paddy,108,58,52,6.0,28.5,220
West Bengal,Burdwan,Rabi,Wheat;Potato;Mustard,Potato,Major potato belt,92,52,48,6.2,21.0,35
West Bengal,Murshidabad,Kharif,Rice;Jute;Maize,Rice,Silk and paddy zone,100,55,50,6.3,28.5,220
West Bengal,Murshidabad,Rabi,Wheat;Potato;Mustard,Wheat,Intensive rabi farming,88,50,46,6.5,21.0,35
West Bengal,Hooghly,Kharif,Rice;Jute;Vegetables,Rice,Industrial belt farming,95,52,48,6.1,28.5,220
West Bengal,Hooghly,Rabi,Potato;Wheat;Vegetables,Potato,Vegetable and tuber hub,85,48,44,6.3,21.0,35
West Bengal,Nadia,Kharif,Rice;Jute;Sugarcane,Rice,Fertile alluvial zone,102,56,52,6.2,28.5,220
West Bengal,Nadia,Rabi,Wheat;Potato;Mustard,Potato,Intensive rabi cropping,90,52,48,6.4,21.0,35
West Bengal,Malda,Kharif,Rice;Jute;Maize,Rice,Northern WB monsoon,95,50,46,6.0,28.5,220
West Bengal,Malda,Rabi,Wheat;Mango;Mustard,Mango,Famous mango district,82,46,42,6.2,21.0,35
Odisha,Bhubaneswar,Kharif,Rice;Pulses,Rice,Coastal paddy,95,50,45,6.0,28.5,220
Odisha,Bhubaneswar,Rabi,Wheat;Groundnut,Wheat,Coastal plains Rabi,80,45,42,6.1,21.0,35
Odisha,Cuttack,Kharif,Rice;Jute,Rice,Delta region,100,52,48,6.2,28.5,220
Odisha,Cuttack,Rabi,Wheat;Lentil,Wheat,Winter crops,85,48,44,6.3,21.0,35
Odisha,Sambalpur,Kharif,Rice;Maize;Cotton,Rice,Western Odisha monsoon,88,48,44,6.0,28.5,220
